

YH1->[UL4]FX0111[FL38]->XG8,2017:11:20:00:57:45,2017:11:20:00:57:48
YH1->[UL18]FX0111[FL38]->XG8,2017:11:20:00:57:48,2017:11:20:00:57:56
YH1->[UL1]FX0111[FL38]->XG8,2017:11:20:00:57:59,2017:11:20:00:58:11
YH1->[UL54]FX0110[FL36]->XG8,2017:11:20:01:04:27,2017:11:20:01:04:42
YH1->[UL33]FX0110[FL36]->XG8,2017:11:20:01:04:42,2017:11:20:01:04:57
YH1->[UL33]FX0110[FL37]->XG8,2017:11:20:01:05:29,2017:11:20:01:05:52
YH1->[UL17]FX0110[FL37]->XG8,2017:11:20:01:05:55,2017:11:20:01:06:21
YH1->[UL17]FX0110[FL38]->XG8,2017:11:20:01:06:35,2017:11:20:01:07:21
YH1->[UL15]FX0110[FL38]->XG8,2017:11:20:01:07:21,2017:11:20:01:07:30
YH1->[UL15]FX0110[FL39]->XG8,2017:11:20:01:07:44,2017:11:20:01:08:15
YH1->[UL13]FX0110[FL39]->XG8,2017:11:20:01:08:15,2017:11:20:01:08:36
YH1->[UL13]FX0110[FL40]->XG8,2017:11:20:01:09:07,2017:11:20:01:09:18
YH1->[UL28]FX0110[FL40]->XG8,2017:11:20:01:09:21,2017:11:20:01:09:38
YH1->[UL54]FX0109[FL35]->XG8,2017:11:20:01:12:32,2017:11:20:01:12:52
YH1->[UL54]FX0109[FL36]->XG8,2017:11:20:01:13:27,2017:11:20:01:13:29
YH1->[UL53]FX0109[FL36]->XG8,2017:11:20:01:13:29,2017:11:20:01:13:47
YH1->[UL33]FX0109[FL36]->XG8,2017:11:20:01:13:47,2017:11:20:01:14:29
YH1->[UL32]FX0109[FL36]->XG8,2017:11:20:01:14:29,2017:11:20:01:14:30
YH1->[UL32]FX0109[FL37]->XG8,2017:11:20:01:14:31,2017:11:20:01:15:10
YH1->[UL17]FX0109[FL37]->XG8,2017:11:20:01:15:14,2017:11:20:01:15:38
YH1->[UL17]FX0109[FL38]->XG8,2017:11:20:01:15:38,2017:11:20:01:15:55
YH1->[UL16]FX0109[FL38]->XG8,2017:11:20:01:15:55,2017:11:20:01:16:36
YH1->[UL15]FX0109[FL38]->XG8,2017:11:20:01:16:36,2017:11:20:01:16:40
YH1->[UL15]FX0109[FL39]->XG8,2017:11:20:01:16:40,2017:11:20:01:17:13
YH1->[UL14]FX0109[FL39]->XG8,2017:11:20:01:17:13,2017:11:20:01:17:41
YH1->[UL14]FX0109[FL40]->XG8,2017:11:20:01:17:42,2017:11:20:01:17:49
YH1->[UL28]FX0109[FL40]->XG8,2017:11:20:01:17:52,2017:11:20:01:18:44
YH1->[UL28]FX0109[FL41]->XG8,2017:11:20:01:19:17,2017:11:20:01:19:29
YH1->[UL46]FX0109[FL41]->XG8,2017:11:20:01:19:29,2017:11:20:01:19:40
YH1->[UL53]FX0108[FL35]->XG8,2017:11:20:01:21:31,2017:11:20:01:22:39
YH1->[UL53]FX0108[FL36]->XG8,2017:11:20:01:22:39,2017:11:20:01:23:00
YH1->[UL32]FX0108[FL36]->XG8,2017:11:20:01:23:00,2017:11:20:01:23:51
YH1->[UL32]FX0108[FL37]->XG8,2017:11:20:01:23:51,2017:11:20:01:24:16
YH1->[UL31]FX0108[FL37]->XG8,2017:11:20:01:24:16,2017:11:20:01:24:49
YH1->[UL31]FX0108[FL38]->XG8,2017:11:20:01:24:49,2017:11:20:01:25:03
YH1->[UL15]FX0108[FL38]->XG8,2017:11:20:01:25:03,2017:11:20:01:25:05
YH1->[UL16]FX0108[FL38]->XG8,2017:11:20:01:25:11,2017:11:20:01:25:21
YH1->[UL30]FX0108[FL38]->XG8,2017:11:20:01:25:25,2017:11:20:01:25:44
YH1->[UL30]FX0108[FL39]->XG8,2017:11:20:01:25:44,2017:11:20:01:26:04
YH1->[UL29]FX0108[FL39]->XG8,2017:11:20:01:26:04,2017:11:20:01:26:40
YH1->[UL29]FX0108[FL40]->XG8,2017:11:20:01:26:40,2017:11:20:01:27:09
YH1->[UL28]FX0108[FL40]->XG8,2017:11:20:01:27:09,2017:11:20:01:27:40
YH1->[UL28]FX0108[FL41]->XG8,2017:11:20:01:27:40,2017:11:20:01:27:58
YH1->[UL47]FX0108[FL41]->XG8,2017:11:20:01:27:58,2017:11:20:01:28:18
YH1->[UL46]FX0108[FL41]->XG8,2017:11:20:01:28:18,2017:11:20:01:28:44
YH1->[UL53]FX0107[FL34]->XG8,2017:11:20:01:30:26,2017:11:20:01:30:43
YH1->[UL53]FX0107[FL35]->XG8,2017:11:20:01:30:45,2017:11:20:01:31:33
YH1->[UL52]FX0107[FL35]->XG8,2017:11:20:01:31:33,2017:11:20:01:32:07
YH1->[UL52]FX0107[FL36]->XG8,2017:11:20:01:32:07,2017:11:20:01:32:26
YH1->[UL32]FX0107[FL36]->XG8,2017:11:20:01:32:26,2017:11:20:01:32:45
YH1->[UL31]FX0107[FL36]->XG8,2017:11:20:01:32:48,2017:11:20:01:33:05
YH1->[UL31]FX0107[FL37]->XG8,2017:11:20:01:33:05,2017:11:20:01:33:55
YH1->[UL31]FX0107[FL38]->XG8,2017:11:20:01:33:55,2017:11:20:01:33:59
YH1->[UL30]FX0107[FL38]->XG8,2017:11:20:01:33:59,2017:11:20:01:34:43
YH1->[UL30]FX0107[FL39]->XG8,2017:11:20:01:34:43,2017:11:20:01:35:02
YH1->[UL29]FX0107[FL39]->XG8,2017:11:20:01:35:02,2017:11:20:01:35:35
YH1->[UL29]FX0107[FL40]->XG8,2017:11:20:01:35:35,2017:11:20:01:36:23
YH1->[UL47]FX0107[FL40]->XG8,2017:11:20:01:36:23,2017:11:20:01:36:31
YH1->[UL47]FX0107[FL41]->XG8,2017:11:20:01:36:31,2017:11:20:01:37:34
YH1->[UL47]FX0107[FL42]->XG8,2017:11:20:01:37:35,2017:11:20:01:37:50
YH1->[UL46]FX0107[FL42]->XG8,2017:11:20:01:37:56,2017:11:20:01:38:05
YH1->[UL53]FX0106[FL34]->XG8,2017:11:20:01:39:36,2017:11:20:01:39:49
YH1->[UL52]FX0106[FL34]->XG8,2017:11:20:01:39:54,2017:11:20:01:40:10
YH6->[UL35]FX0109[FL38]->XG5,2017:11:20:06:34:51,2017:11:20:06:35:03
YH6->[UL34]FX0108[FL37]->XG5,2017:11:20:06:42:34,2017:11:20:06:43:17
YH6->[UL34]FX0108[FL38]->XG5,2017:11:20:06:43:34,2017:11:20:06:44:02
YH6->[UL19]FX0108[FL38]->XG5,2017:11:20:06:44:02,2017:11:20:06:44:27
YH6->[UL19]FX0108[FL39]->XG5,2017:11:20:06:44:43,2017:11:20:06:45:06
YH6->[UL4]FX0108[FL39]->XG5,2017:11:20:06:45:09,2017:11:20:06:45:32
YH6->[UL4]FX0108[FL40]->XG5,2017:11:20:06:46:09,2017:11:20:06:46:11
YH6->[UL1]FX0108[FL40]->XG5,2017:11:20:06:46:11,2017:11:20:06:46:32
YH6->[UL34]FX0107[FL37]->XG5,2017:11:20:06:51:28,2017:11:20:06:51:46
YH6->[UL54]FX0107[FL37]->XG5,2017:11:20:06:52:01,2017:11:20:06:52:34
YH6->[UL54]FX0107[FL38]->XG5,2017:11:20:06:52:34,2017:11:20:06:52:59
YH6->[UL33]FX0107[FL38]->XG5,2017:11:20:06:53:07,2017:11:20:06:53:36
YH6->[UL33]FX0107[FL39]->XG5,2017:11:20:06:53:36,2017:11:20:06:54:06
YH6->[UL18]FX0107[FL39]->XG5,2017:11:20:06:54:09,2017:11:20:06:54:37
YH6->[UL18]FX0107[FL40]->XG5,2017:11:20:06:54:38,2017:11:20:06:55:17
YH6->[UL17]FX0107[FL40]->XG5,2017:11:20:06:55:17,2017:11:20:06:55:21
YH6->[UL3]FX0107[FL41]->XG5,2017:11:20:06:56:14,2017:11:20:06:56:34
