

YH6->[UL0]FX0512[FL0]->XG5,2017:11:20:00:00:10,2017:11:20:00:04:44
YH6->[UL0]FX0511[FL0]->XG5,2017:11:20:00:05:50,2017:11:20:00:13:23
YH6->[UL0]FX0510[FL0]->XG5,2017:11:20:00:14:55,2017:11:20:00:21:56
YH6->[UL0]FX0509[FL0]->XG5,2017:11:20:00:24:27,2017:11:20:00:30:20
YH6->[UL0]FX0508[FL0]->XG5,2017:11:20:00:34:19,2017:11:20:00:38:25
YH6->[UL0]FX0607[FL0]->XG5,2017:11:20:00:40:10,2017:11:20:00:43:16
YH6->[UL0]FX0606[FL0]->XG5,2017:11:20:00:47:34,2017:11:20:00:53:28
YH6->[UL0]FX0605[FL0]->XG5,2017:11:20:00:55:32,2017:11:20:01:02:30
YH6->[UL0]FX0604[FL0]->XG5,2017:11:20:01:03:45,2017:11:20:01:11:11
YH6->[UL0]FX0603[FL0]->XG5,2017:11:20:01:12:25,2017:11:20:01:19:47
YH6->[UL0]FX0602[FL0]->XG5,2017:11:20:01:21:52,2017:11:20:01:28:15
YH6->[UL0]FX0601[FL0]->XG5,2017:11:20:01:31:34,2017:11:20:01:36:29
